"","X","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","nursery","internet","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","higher","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","alc_use","high_use"
"1",1,"GP","F",18,"U","GT3","A",4,4,"at_home","teacher","course","yes","no","mother",2,2,0,"yes","no","no","no","yes","no",4,3,4,1,1,3,5,2,8,8,1,FALSE
"2",2,"GP","F",17,"U","GT3","T",1,1,"at_home","other","course","no","yes","father",1,2,0,"no","yes","no","no","yes","no",5,3,3,1,1,3,3,7,8,8,1,FALSE
"3",3,"GP","F",15,"U","LE3","T",1,1,"at_home","other","other","yes","yes","mother",1,2,2,"yes","no","yes","no","yes","no",4,3,2,2,3,3,8,10,10,11,2.5,TRUE
"4",4,"GP","F",15,"U","GT3","T",4,2,"health","services","home","yes","yes","mother",1,3,0,"no","yes","yes","yes","yes","yes",3,2,2,1,1,5,1,14,14,14,1,FALSE
"5",5,"GP","F",16,"U","GT3","T",3,3,"other","other","home","yes","no","father",1,2,0,"no","yes","yes","no","yes","no",4,3,2,1,2,5,2,8,12,12,1.5,FALSE
"6",6,"GP","M",16,"U","LE3","T",4,3,"services","other","reputation","yes","yes","mother",1,2,0,"no","yes","yes","yes","yes","no",5,4,2,1,2,5,8,14,14,14,1.5,FALSE
"7",7,"GP","M",16,"U","LE3","T",2,2,"other","other","home","yes","yes","mother",1,2,0,"no","no","no","no","yes","no",4,4,4,1,1,3,0,12,12,12,1,FALSE
"8",8,"GP","F",17,"U","GT3","A",4,4,"other","teacher","home","yes","no","mother",2,2,0,"yes","yes","no","no","yes","no",4,1,4,1,1,1,4,8,9,10,1,FALSE
"9",9,"GP","M",15,"U","LE3","A",3,2,"services","other","home","yes","yes","mother",1,2,0,"no","yes","yes","no","yes","no",4,2,2,1,1,1,0,16,17,18,1,FALSE
"10",10,"GP","M",15,"U","GT3","T",3,4,"other","other","home","yes","yes","mother",1,2,0,"no","yes","yes","yes","yes","no",5,5,1,1,1,5,0,13,14,14,1,FALSE
"11",11,"GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","yes","yes","mother",1,2,0,"no","yes","yes","no","yes","no",3,3,3,1,2,2,1,12,11,12,1.5,FALSE
"12",12,"GP","F",15,"U","GT3","T",2,1,"services","other","reputation","yes","yes","father",3,3,0,"no","yes","no","yes","yes","no",5,2,2,1,1,4,2,10,12,12,1,FALSE
"13",13,"GP","M",15,"U","LE3","T",4,4,"health","services","course","yes","yes","father",1,1,0,"no","yes","yes","yes","yes","no",4,3,3,1,3,5,1,13,14,13,2,FALSE
"14",14,"GP","M",15,"U","GT3","T",4,3,"teacher","other","course","yes","yes","mother",2,2,0,"no","yes","yes","no","yes","no",5,4,3,1,2,3,1,11,11,12,1.5,FALSE
"15",15,"GP","M",15,"U","GT3","A",2,2,"other","other","home","yes","yes","other",1,3,0,"no","yes","no","no","yes","yes",4,5,2,1,1,3,0,14,15,16,1,FALSE
"16",16,"GP","F",16,"U","GT3","T",4,4,"health","other","home","yes","yes","mother",1,1,0,"no","yes","no","no","yes","no",4,4,4,1,2,2,5,16,16,16,1.5,FALSE
